value
5241.0
5553.0
6059.0
6892.0
9104.0
7923.0
7816.0
7737.0
10784.0
9621.0
10076.0
10760.0
14166.0
12358.0
12973.0
13909.0
17915.0
16201.0
16502.0
17371.0
22523.0
20142.0
20953.0
22171.0
28121.0
25490.0
25817.0
26892.0
35135.0
30403.0
31589.0
32352.0
42126.0
34270.0
34260.0
33486.0
39576.0
32284.0
32924.0
34494.0
45805.0
37059.0
38467.0
40075.0
54320.0
44243.0
45426.0
46159.0
64435.0
51722.0
52542.0
53832.0
73827.0
58355.0
60181.0
61344.0
83766.0
66148.0
69715.0
71331.0
95830.0
75918.0
79916.0
81769.0
109362.0
86811.0
91969.0
93830.0
124697.0
99805.0
107094.0
108905.0
145230.0
115602.0
122934.0
124214.0
160894.0
129015.0
139647.0
145740.0
